Year,Railroad Traffic Count
1960,1994517.0
1965,1828442.0
1970,1811258.0
1975,1751451.0
1980,1738921.0
1985,1444234.0
1990,1231096.0
1991,1208004.0
1992,1191140.0
1993,1191293.0
1994,1210917.0
1995,1237739.0
1996,1259842.0
1997,1290103.0
1998,1335928.0
1999,1389092.0
2000,1400824.0
2001,1333881.0
2002,1320176.0
2003,1299754.0
2004,1309935.0
2005,1335024.0
2006,1370239.0
2007,1409852.0
2008,1416975.0
2009,1387478.0
2010,1332922.0
2011,1307475.0
2012,1340892.0
2013,1360672.0
2014,1582307.0
2015,1635626.0
2016,1681759.0
2017,1686512.0
2018,1695049.0
2019,1700108.0
2020,1681967.0
